"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Alex Erickson","A.Erickson","CIN","WR","00-0032543"
2019,"reg","Andrew Billings","A.Billings","CIN","DT","00-0033066"
2019,"reg","Andrew Brown","A.Brown","CIN","DT","00-0034394"
2019,"reg","Andy Dalton","A.Dalton","CIN","QB","00-0027973"
2019,"reg","Auden Tate","A.Tate","CIN","WR","00-0034686"
2019,"reg","B.W. Webb","B.Webb","CIN","CB","00-0030403"
2019,"reg","Brady Sheldon","B.Sheldon","CIN","LB","00-0033997"
2019,"reg","Brandon Wilson","B.Wilson","CIN","DB","00-0033791"
2019,"reg","C.J. Uzomah","C.Uzomah","CIN","TE","00-0032134"
2019,"reg","Carl Lawson","C.Lawson","CIN","DE","00-0033463"
2019,"reg","Carlos Dunlap","C.Dunlap","CIN","DE","00-0027662"
2019,"reg","Cethan Carter","C.Carter","CIN","TE","00-0033338"
2019,"reg","Clayton Fejedelem","C.Fejedelem","CIN","DB","00-0032807"
2019,"reg","Damion Willis","D.Willis","CIN","WR","00-0035401"
2019,"reg","Darius Phillips","D.Phillips","CIN","CB","00-0034683"
2019,"reg","Darqueze Dennard","D.Dennard","CIN","DB","00-0031380"
2019,"reg","Dre Kirkpatrick","D.Kirkpatrick","CIN","CB","00-0029560"
2019,"reg","Drew Sample","D.Sample","CIN","TE","00-0035631"
2019,"reg","Freedom Akinmoladun","F.Akinmoladun","CIN","DE","00-0035600"
2019,"reg","Geno Atkins","G.Atkins","CIN","DT","00-0027720"
2019,"reg","Germaine Pratt","G.Pratt","CIN","LB","00-0035697"
2019,"reg","Giovani Bernard","G.Bernard","CIN","RB","00-0030456"
2019,"reg","Greg Mabin","G.Mabin","CIN","CB","00-0033430"
2019,"reg","Hardy Nickerson","H.Nickerson","CIN","MLB","00-0033344"
2019,"reg","Jessie Bates","J.Bates","CIN","FS","00-0034675"
2019,"reg","Joe Mixon","J.Mixon","CIN","RB","00-0033897"
2019,"reg","John Ross","J.Ross","CIN","WR","00-0033460"
2019,"reg","Jordan Evans","J.Evans","CIN","OLB","00-0033790"
2019,"reg","Josh Tupou","J.Tupou","CIN","DT","00-0033347"
2019,"reg","Kerry Wynn","K.Wynn","CIN","DE","00-0030776"
2019,"reg","Kevin Huber","K.Huber","CIN","P","00-0027103"
2019,"reg","LaRoy Reynolds","L.Reynolds","CIN","LB","00-0029955"
2019,"reg","Nick Vigil","N.Vigil","CIN","OLB","00-0032892"
2019,"reg","Randy Bullock","R.Bullock","CIN","K","00-0029421"
2019,"reg","Renell Wren","R.Wren","CIN","DT","00-0035260"
2019,"reg","Ryan Finley","R.Finley","CIN","QB","00-0035652"
2019,"reg","Ryan Glasgow","R.Glasgow","CIN","DT","00-0033786"
2019,"reg","Sam Hubbard","S.Hubbard","CIN","DE","00-0034834"
2019,"reg","Shawn Williams","S.Williams","CIN","SS","00-0030471"
2019,"reg","Stanley Morgan","S.Morgan","CIN","WR","00-0035399"
2019,"reg","Tony McRae","T.McRae","CIN","CB","00-0032934"
2019,"reg","Torry McTyer","T.McTyer","CIN","CB","00-0033405"
2019,"reg","Trayvon Henderson","T.Henderson","CIN","DB","00-0034533"
2019,"reg","Tyler Boyd","T.Boyd","CIN","WR","00-0033009"
2019,"reg","Tyler Eifert","T.Eifert","CIN","TE","00-0030549"
2019,"reg","William Jackson","W.Jackson","CIN","CB","00-0033107"
